hr,proper,dist,mag,absmag,spect,ci,rarad,decrad,con
5531,Zubenelgenubi,23.2396,2.750,0.919,A3IV,"rgb(227, 211, 0)",3.887191169503684,-0.27998184606259124,Lib
5536,N/A,140.2525,6.180,0.445,K3III,"rgb(255, 196, 167)",3.887727805127999,-0.0044940587179574994,Vir
5535,N/A,67.0241,4.930,0.799,G8...,"rgb(255, 209, 198)",3.8877988043694978,-0.040127744956797495,Lib
5544,N/A,6.7123,4.540,5.406,G8V + K4V,"rgb(255, 217, 222)",3.889420660383121,0.3333659152170787,Boo
5552,N/A,138.8889,5.480,-0.233,K4III,"rgb(255, 197, 169)",3.8896483417014887,1.034875270279775,Dra
5528,N/A,123.9157,4.320,-1.146,B5IV,"rgb(182, 181, 0)",3.890506801378525,-0.7605334848880775,Lup
5542,N/A,39.1389,6.300,3.337,G0/G1V,"rgb(255, 220, 233)",3.894493664993552,-0.5336737466922813,Cen
5527,N/A,505.0505,5.910,-2.607,F8II + A/F,"rgb(255, 219, 228)",3.8946487256669697,-1.1136915813511175,Cir
5543,N/A,150.8296,5.020,-0.872,B7II/III,"rgb(182, 180, 0)",3.895798638123341,-0.6597896098846988,Cen
5520,N/A,101.0101,5.590,0.568,G5III,"rgb(255, 214, 212)",3.897432750580542,-1.2774077195287363,Aps
5550,N/A,47.6417,6.410,3.020,F6III,"rgb(255, 221, 237)",3.8981455008597496,0.2741068743538588,Boo
5553,N/A,11.5101,6.000,5.695,K2V,"rgb(255, 213, 211)",3.8981769900150067,0.33427939361236,Boo
5548,N/A,127.8772,5.270,-0.264,K2/K3III,"rgb(255, 198, 171)",3.9022747545184084,-0.43008755900712625,Lib
5554,N/A,103.3058,5.780,0.709,G7III,"rgb(255, 209, 198)",3.9024742809877484,-0.20766534176627874,Lib
5549,N/A,320.5128,5.850,-1.679,K2III,"rgb(255, 195, 165)",3.9035681760261296,-0.5812046729218775,Cen
5539,N/A,390.6250,6.090,-1.869,B3Vn,"rgb(197, 192, 0)",3.903907885352763,-1.1517618878112388,Cir
5546,N/A,49.4315,5.180,1.710,K1III,"rgb(255, 203, 184)",3.907692873079743,-1.0491900897793651,Cir
5558,N/A,77.8210,5.320,0.865,A0V,"rgb(216, 204, 0)",3.908425294638559,-0.5908949171150237,Cen
5569,N/A,95.7854,6.120,1.214,A2V,"rgb(223, 208, 0)",3.9094356076775614,0.5637424419795413,Boo
5567,N/A,183.1502,5.900,-0.414,A0V,"rgb(203, 196, 0)",3.9104996728571018,0.2521348996063125,Boo
5556,N/A,61.5006,5.380,1.436,A2III,"rgb(227, 210, 0)",3.9107913284008267,-0.92170048487255,Lup
5581,N/A,25.1067,5.630,3.631,F7V,"rgb(255, 223, 240)",3.9112104878444214,0.8661798357199337,Boo
5562,N/A,195.3125,6.060,-0.394,K3III,"rgb(255, 195, 166)",3.911782221071082,-0.5696193395128363,Cen
5559,N/A,169.2047,5.620,-0.522,B+...,"rgb(202, 196, 0)",3.9118691491819964,-0.8356496437800801,Lup
5561,N/A,114.4165,6.360,1.068,A0/A1V,"rgb(218, 205, 0)",3.912137682936495,-0.6879393831778013,Cen
5551,N/A,462.9630,5.080,-3.248,B4Vnp,"rgb(204, 198, 0)",3.912736932552945,-1.0957354397216963,Cir
5564,N/A,168.3502,5.480,-0.651,K4III,"rgb(255, 193, 161)",3.9128908564000926,-0.19913684245838625,Lib
5560,N/A,423.7288,6.600,-1.535,M2III,"rgb(255, 5, 126)",3.914040774538141,-0.8979239477311125,Lup
5574,N/A,126.5823,6.500,0.988,A1V,"rgb(213, 202, 0)",3.9141622806806726,0.3762130324761037,Boo
5570,N/A,26.9034,4.470,2.321,F0V,"rgb(246, 221, 0)",3.914700764934293,-0.07586007262021,Lib
5575,N/A,163.1321,5.720,-0.343,G5III:,"rgb(255, 210, 201)",3.914750079921516,0.28602678674244125,Boo
5565,N/A,151.5152,6.280,0.378,B8/B9V,"rgb(206, 199, 0)",3.914897864264867,-0.5088974906074013,Hya
5568,N/A,5.8404,5.720,6.888,K4V,"rgb(255, 207, 195)",3.9159337761535635,-0.3737705500176212,Lib
5573,N/A,89.3655,5.510,0.754,K1III,"rgb(255, 204, 186)",3.9163189394539155,-0.0029253754353600002,Vir
5589,N/A,140.8451,4.630,-1.114,M5III,"rgb(255, 190, 154)",3.916451457117119,1.1507385128404761,UMi
5540,N/A,114.8106,5.370,0.070,K4III,"rgb(255, 194, 164)",3.9177636477543065,-1.33801574867812,Aps
5566,N/A,23.8493,6.340,4.453,G5V,"rgb(255, 217, 223)",3.9189044847440817,-0.8528204289128888,Lup
5578,N/A,109.4092,6.610,1.415,A1V,"rgb(212, 202, 0)",3.9192395044818626,-0.19468728676326874,Lib
5571,N/A,117.3709,2.680,-2.668,B2III,"rgb(178, 177, 0)",3.9205864841340285,-0.7528296217318413,Lup
5572,N/A,102.7749,6.170,1.111,K1III,"rgb(255, 201, 180)",3.9209215471090793,-0.696511552273555,Cen
5577,N/A,113.1222,5.650,0.382,A6IV,"rgb(240, 218, 0)",3.9211191059025965,-0.48271118882228997,Hya
5583,N/A,33.7724,6.080,3.437,F8V,"rgb(255, 223, 243)",3.9221026848797984,-0.0870789495513125,Lib
5582,N/A,95.0570,5.880,0.990,K3III-IV,"rgb(255, 200, 175)",3.922160742506699,-0.19449973117624875,Lib
5576,N/A,117.5088,3.130,-2.220,B2IV,"rgb(174, 175, 0)",3.9233320665995404,-0.7348568098441325,Cen
5579,N/A,162.6016,6.450,0.394,B8V,"rgb(194, 190, 0)",3.923640381146822,-0.6611522642988538,Cen
5584,N/A,215.0538,5.910,-0.753,M1III,"rgb(255, 0, 150)",3.9243084856328005,0.07972247249932124,Vir
5580,N/A,255.7545,6.100,-0.939,F5III,"rgb(255, 221, 234)",3.9246052611206927,-0.7532811851559588,Lup
