hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
4781,NaN,12.562986,-9.452077,79.2393,5.480,0.985,A0V,-0.035,Vir
4784,NaN,12.563170,33.384668,127.2265,6.240,0.717,K0III,1.051,CVn
4782,NaN,12.566433,-49.909810,65.1466,6.380,2.311,F5IV-V,0.428,Cen
4786,Kraz,12.573121,-23.396759,44.6628,2.650,-0.600,G5II,0.893,Crv
4788,NaN,12.578448,-44.673018,28.3206,5.760,3.499,G4IV,0.683,Cen
4795,NaN,12.578902,70.021770,184.5018,4.950,-1.380,K2III,1.312,Dra
4789,NaN,12.580857,22.629259,95.0570,4.800,-0.090,A0IV,0.012,Com
4791,NaN,12.585100,18.377065,51.8403,6.570,2.997,A7m,0.265,Com
4792,NaN,12.585489,18.377058,138.1215,5.030,-0.671,K2III,1.152,Com
4793,NaN,12.585602,21.881384,195.6947,5.860,-0.598,K1III,1.242,Com
4790,NaN,12.591563,-61.841576,47.1698,6.220,2.852,G4IV,0.731,Cru
4794,NaN,12.595987,-41.021945,35.5240,5.120,2.367,A7III,0.224,Cen
4797,NaN,12.599665,-20.527476,66.8003,6.200,2.076,F0V,0.340,Crv
4796,NaN,12.600289,-39.869505,72.7802,5.780,1.470,A0V,0.003,Cen
4800,NaN,12.606521,59.486939,100000.0000,8.830,-11.170,M4IIIe-M7e,1.210,UMa
4799,NaN,12.613154,-5.831898,69.0131,5.880,1.685,A3V,0.072,Vir
4801,NaN,12.616204,17.089536,194.5525,5.700,-0.745,K5III,1.436,Com
4798,NaN,12.619739,-69.135564,96.7118,2.690,-2.237,B2IV-V,-0.176,Mus
4803,NaN,12.628409,-27.138888,34.3289,5.410,2.732,F0V,0.334,Hya
4802,NaN,12.628394,-48.541304,40.2414,3.850,0.827,A2V,0.049,Cen
4805,NaN,12.634560,3.282444,170.9402,6.330,0.166,A1V,0.000,Vir
4807,NaN,12.639557,1.854662,151.0574,5.680,-0.216,M3III,1.592,Vir
4808,NaN,12.641649,6.988619,606.0606,7.770,-1.143,M3.5-8.5IIIe,1.275,Vir
4809,NaN,12.645726,-18.250100,67.2948,6.000,1.860,F0V,0.310,Crv
4811,NaN,12.646189,40.874662,67.8426,6.350,2.192,A7Vn,0.204,CVn
4806,NaN,12.647879,-67.193048,100000.0000,6.220,-13.780,B1Ia,0.007,Mus
4812,NaN,12.650606,22.659497,133.1558,6.390,0.768,K1III,1.096,Com
4810,NaN,12.650962,-30.422387,191.5709,5.860,-0.552,K2/K3III,1.207,Hya
4815,NaN,12.652031,21.062559,83.8223,5.490,0.873,G9III,0.978,Com
4804,NaN,12.654061,-75.370594,174.5201,6.460,0.251,B8Vn,0.098,Mus
4813,NaN,12.654102,-7.995564,90.0090,4.660,-0.111,K2III,1.240,Vir
4816,NaN,12.654683,35.951959,134.5895,6.390,0.745,A0p SrCrEu,0.095,CVn
4817,NaN,12.664594,-39.987302,111.8568,4.630,-0.613,B8II/III,-0.082,Cen
4814,NaN,12.665523,-66.511138,114.2857,6.260,0.970,B8V,-0.050,Mus
4821,NaN,12.687765,-13.013901,78.9266,5.170,0.684,F3IV,0.432,Crv
4818,NaN,12.689723,-46.145581,277.7778,5.840,-1.378,K3II,1.475,Cen
4819,NaN,12.691971,-48.959888,39.9042,2.200,-0.805,A1IV,-0.023,Cen
4833,NaN,12.692759,62.713039,160.0000,6.020,-0.001,A2III,0.051,UMa
4824,NaN,12.692887,10.426270,62.8931,6.220,2.227,A7Vn,0.192,Vir
4825,Porrima,12.694345,-1.449375,11.6850,2.740,2.402,F0V+...,0.368,Vir
4827,NaN,12.697056,-19.759092,62.0347,6.020,2.057,F2V,0.397,Crv
4828,NaN,12.698071,10.235625,36.2713,4.880,2.082,A0V,0.076,Vir
4823,NaN,12.699051,-59.685819,293.2551,4.910,-2.426,B6IV,-0.044,Cru
4829,NaN,12.699199,6.806617,71.5308,5.570,1.298,A2V,0.002,Vir
4820,NaN,12.701398,-69.407554,625.0000,6.310,-2.669,F7Ib,0.750,Mus
4831,NaN,12.709858,-48.813109,58.4454,4.660,0.826,K0III,1.075,Cen
4832,NaN,12.713827,-55.947001,108.4599,6.060,0.884,B9V,-0.023,Cru
4830,NaN,12.713965,-63.058624,373.1343,5.270,-2.589,B2pe,0.195,Cru
4840,NaN,12.717822,61.155421,164.2036,6.390,0.313,K0,1.268,UMa
4834,NaN,12.719221,-56.176224,117.0960,5.990,0.647,B9Vn,-0.074,Cru
4836,NaN,12.723961,-40.177849,68.6342,6.430,2.247,A7III,0.242,Cen
4835,NaN,12.724544,-58.902742,170.0680,6.410,0.257,K0/K1III,1.092,Cru
4837,NaN,12.727236,-1.576996,66.9792,5.910,1.780,G8IIIp,0.850,Vir
4838,NaN,12.732963,-36.349153,242.7184,6.380,-0.546,B8/B9V,-0.060,Cen
4839,NaN,12.733481,-28.323957,126.4223,5.460,-0.049,K3III,1.346,Hya
4852,NaN,12.740533,80.621024,143.6782,6.330,0.543,A5m,0.160,Cam
4843,NaN,12.740863,44.103004,98.4252,6.340,1.374,F6IV,0.469,CVn
4845,NaN,12.749852,39.278916,17.3762,5.950,4.750,G0V,0.557,CVn
4841,NaN,12.750573,-68.830751,628.9308,6.160,-2.833,F6Ia,0.688,Mus
