hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
8215,N/A,21.455935,37.116798,400.0000,5.300,-2.710,B3V,"rgb(184, 154, 0)",Cyg
8224,N/A,21.457025,59.750075,311.5265,6.110,-1.357,M3II-III...,"rgb(255, 5, 122)",Cep
8217,N/A,21.461126,27.608593,58.3431,5.390,1.560,A1V,"rgb(216, 173, 0)",Vul
8227,N/A,21.462820,66.809096,246.9136,5.420,-1.543,B7V,"rgb(191, 158, 0)",Cep
8220,N/A,21.468955,32.225330,44.7227,5.750,2.497,F0V,"rgb(247, 188, 0)",Cyg
8212,N/A,21.470541,-11.568280,35.8680,6.610,3.836,F7V,"rgb(255, 189, 245)",Cap
8219,N/A,21.473566,8.195645,235.2941,6.390,-0.468,M1,"rgb(255, 0, 145)",Peg
8238,N/A,21.477662,70.560716,210.0840,3.230,-3.382,B2IIIv SB,"rgb(175, 148, 0)",Cep
8213,N/A,21.478721,-21.807180,52.4659,4.500,0.901,K0III,"rgb(255, 179, 206)",Cap
8196,N/A,21.479121,-69.505386,126.2626,5.470,-0.036,M5III,"rgb(255, 162, 158)",Pav
8226,N/A,21.481314,55.418702,390.6250,6.140,-1.819,B8III,"rgb(222, 176, 0)",Cep
8223,N/A,21.483271,22.179436,204.0816,5.840,-0.709,M4III,"rgb(255, 166, 169)",Peg
8221,N/A,21.483310,17.905909,145.1379,6.420,0.611,K5,"rgb(255, 166, 167)",Peg
8211,N/A,21.483366,-53.705912,117.9245,6.390,1.032,K2IIICN...,"rgb(255, 172, 185)",Ind
8214,N/A,21.484372,-31.238559,94.6074,6.520,1.640,A1V,"rgb(215, 172, 0)",PsA
8228,N/A,21.490816,46.540585,66.4452,5.220,1.108,K0III,"rgb(255, 177, 200)",Cyg
8225,N/A,21.499137,23.638838,120.7729,4.520,-0.890,M1III,"rgb(255, 0, 149)",Peg
8222,N/A,21.499882,-19.147827,118.0638,6.570,1.209,F3V,"rgb(255, 191, 253)",Cap
8237,N/A,21.505645,52.957998,158.4786,6.020,0.020,A3V,"rgb(220, 174, 0)",Cyg
8243,N/A,21.516470,60.459432,462.9630,5.530,-2.798,B1II,"rgb(222, 176, 0)",Cep
8231,N/A,21.519341,12.137475,151.2859,6.100,0.201,B9.5V,"rgb(200, 164, 0)",Peg
8242,N/A,21.524295,52.619856,529.1005,6.170,-2.448,G2Ib+...,"rgb(255, 179, 205)",Cyg
8232,Sadalsuud,21.525982,-5.571172,164.7446,2.900,-3.184,G0Ib,"rgb(255, 181, 212)",Aqr
8129,N/A,21.534134,-84.810069,208.3333,6.420,-0.174,K3III,"rgb(255, 165, 166)",Oct
8229,N/A,21.534965,-41.179310,142.8571,5.290,-0.485,K0III,"rgb(255, 173, 188)",Gru
8230,N/A,21.537381,-33.944623,154.3210,5.970,0.028,A2V,"rgb(217, 173, 0)",PsA
8240,N/A,21.540837,23.394585,170.3578,6.690,0.533,B9sp...,"rgb(196, 162, 0)",Peg
8235,N/A,21.542572,-24.590418,67.9348,6.430,2.270,A7V,"rgb(233, 181, 0)",Cap
8246,N/A,21.549052,49.977629,151.0574,5.770,-0.126,A0V,"rgb(201, 165, 0)",Cyg
8233,N/A,21.554893,-52.737773,300.3003,6.430,-0.958,K4III,"rgb(255, 163, 161)",Ind
8248,N/A,21.554968,45.854014,408.1633,6.270,-1.784,K1Ibvar,"rgb(255, 16, 87)",Cyg
